Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Cream Stone,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Desserts,  Ice Cream,  Shakes",4.2,17,400
Hawte,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Desserts,  Ice Cream,  Shakes",4.3,17,400
Upper Deck,"Swagath De Royal,Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese",4.2,17,1000
Cafe Kathaa,"F.C. Road, West Pune", West Pune,Pune,"Continental,  Fast Food,  Shakes",4,17,900
Mazdana Restaurant & Bar,"Camp, East Pune", East Pune,Pune,"Continental,  Finger Food,  North Indian,  Chinese,  Oriental ",4.2,17,600
The Quick Wok,"Regent Plaza,Baner, West Pune", West Pune,Pune,"Chinese,  Thai",4.4,17,800
Frozen Bottle,"Baner, West Pune", West Pune,Pune,"Shakes,  Ice Cream",4.6,17,400
Chakh Le Veg - Non Veg,"Shinde Complex,Bavdhan, West Pune", West Pune,Pune,"North Indian,  Chinese,  South Indian,  Street Food",4.1,17,600
Aha! Baangali,"Wakad, West Pune", West Pune,Pune,"Bengali,  Seafood",4.5,17,700
Apna Punjab,"Magarpatta City, East Pune", East Pune,Pune,"North Indian,  Chinese",4.1,17,600
Bay Leaf Bistro,"Chinchwad, West Pune", West Pune,Pune,"Chinese,  North Indian,  Continental,  South Indian,  Thai,  Mexican,  Fast Food",3.7,17,800
Kasturi Restaurant,"New Market, Central Kolkata", Central Kolkata,Kolkata,Bengali,4,17,700
Unplugged Courtyard,"Park Street, Central Kolkata", Central Kolkata,Kolkata,"North Indian,  Italian,  Continental,  Sushi",4.1,17,2800
Wow! Momo,"RDB Boulevard,Salt Lake, East Kolkata", East Kolkata,Kolkata,"Fast Food,  Tibetan",3.3,17,400
Wasabee,"Desapriya Park, South Kolkata", South Kolkata,Kolkata,"Chinese,  Asian,  Thai,  Japanese",4,17,1500
Bangaleeana,"Rajarhat, 24 Parganas North", 24 Parganas North,Kolkata,"North Indian,  Bengali",3.3,17,700
Raajbarir Khawa,"Santoshpur, South Kolkata", South Kolkata,Kolkata,"Bengali,  Seafood",3.1,17,600
Wow! Momo,"Barrackpore, 24 Parganas North", 24 Parganas North,Kolkata,"Fast Food,  Tibetan",4,17,400
Puffizza,"Ellis Bridge, Central Ahmedabad", Central Ahmedabad,Ahmedabad,"Pizza,  Italian",4.6,17,700
Pizza Zone,"Paldi, Central Ahmedabad", Central Ahmedabad,Ahmedabad,"Pizza,  Italian,  Fast Food",4,17,500
Shree Marutinandan,"Naroda, North Ahmedabad", North Ahmedabad,Ahmedabad,"Multi-Cuisine,  North Indian,  Chinese,  Gujarati",4,17,700
Italian Bistro,"Maple 99,Chandkheda, North Ahmedabad", North Ahmedabad,Ahmedabad,Italian,4.2,17,1000
Twisted Barrel Microbrewery,"Sector 9, Panchkula", Panchkula,Chandigarh,"North Indian,  Oriental ,  Continental",3.4,17,1500
Barbeque,"Cidade De Goa,Panjim, North Goa", North Goa,Goa,"Seafood,  Barbecue,  Sizzlers",4,17,2200
Navtara,"Siolim, North Goa", North Goa,Goa,"Multi-Cuisine,  North Indian,  South Indian,  Goan",3.9,17,500
Chawla's Restaurant,"Sodala, West Jaipur", West Jaipur,Jaipur,"North Indian,  Chinese",4.9,17,700
Piante  Kitchen And Bar,"Hotel Kings Corner,Raja Park, East Jaipur", East Jaipur,Jaipur,"North Indian,  Continental,  Italian,  Mexican",3.9,17,1900
Oiya Restaurant,"New Palasia, Central Indore", Central Indore,Indore,"Fast Food,  Coffee,  Shakes",4.3,17,500
Mister Shef,"Vijay Nagar, East Indore", East Indore,Indore,"North Indian,  Italian,  Chinese,  Continental",3,17,800
The Market,"Fairfield by Marriott Indore,Vijay Nagar, East Indore", East Indore,Indore,"Fast Food,  Coffee,  Tea",4.3,17,800
2nd Wife,"Mehar Complex,Rakabganj, Central Agra", Central Agra,Agra,"North Indian,  Italian,  Oriental ",3.8,17,1100
Hungama Street Cafe,"Dharampeth, West Nagpur", West Nagpur,Nagpur,"Chinese,  Fast Food,  Desserts",4.3,17,700
Vintage Cafe,"Ganesh Tower,Ravi Nagar, West Nagpur", West Nagpur,Nagpur,Fast Food,4.2,17,400
Kori's,"Safdarjung, South Delhi", South Delhi,Delhi,"Asian,  Korean,  Japanese,  Sushi",4.1,16,1300
Ambra,"Greater Kailash - 2, South Delhi", South Delhi,Delhi,Fast Food,4.3,16,300
Bella Rossa,"Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese",4.3,16,1000
Taco Bell,"Logix City Centre Mall,Sector 32, Noida", Noida,Noida,"Mexican,  Tex Mex,  Tex Mex",4.5,16,500
Punjab Street,"NIT, Faridabad", Faridabad,Noida,North Indian,4.5,16,900
Taco Bell,"Phoenix Marketcity Mall,Kurla West, Central Suburbs", Central Suburbs,Mumbai,"Fast Food,  Mexican,  American",4,16,500
Mesa Bistro,"Svenska Design Hotel,Near Andheri West Station, Andheri West", Andheri West,Mumbai,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Seafood,  Oriental ",3.5,16,2000
Sirocco,"Versova, Andheri West", Andheri West,Mumbai,"Italian,  Chinese",4.3,16,1200
Gigil Brasserie,"Kandivali East, North Western", North Western,Mumbai,"Italian,  Fast Food,  Shakes",4.2,16,1000
Taco Bell,"Seawoods Grand Central Mall,Seawoods, Navi Mumbai", Navi Mumbai,Mumbai,"Fast Food,  Mexican,  American",4,16,500
Jade Buddha's Pub and Kitchen,"Citi Tower,CBD-Belapur, Navi Mumbai", Navi Mumbai,Mumbai,"Asian,  Chinese,  Japanese,  Indonesian,  Seafood,  Malaysian",4.1,16,1600
Feast India Co.,"Cunningham Road, Central Bangalore", Central Bangalore,Bangalore,"Awadhi,  North Indian",3.8,16,1500
Cilantro,"Halcyon Hotel,Koramangala, South Bangalore", South Bangalore,Bangalore,"Continental,  North Indian,  Seafood",4.1,16,1800
Bottoms Up Club,"Sanjay Nagar, North Bangalore", North Bangalore,Bangalore,"Chinese,  Continental,  Indian Cuisine,  Italian,  Korean",4.2,16,1000
Cafe Kaffea,"Vijay Nagar, West Bangalore", West Bangalore,Bangalore,"Italian,  Oriental ",3.6,16,700
Toast On Terrace,"Kanakapura Road, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese,  Andhra,  Fast Food",4,16,900
Punjabi Nukkad,"HSR Layout, South Bangalore", South Bangalore,Bangalore,"North Indian,  Chinese",4.1,16,500
Chef Baker's,"Silver Square Building,Whitefield, East Bangalore", East Bangalore,Bangalore,"Bakery and Confectionary,  Desserts,  Fast Food",4.6,16,600
Koox,"Novotel Chennai,Nandanam, Central Chennai", Central Chennai,Chennai,"Japanese,  Sushi",3.8,16,1200
Oasis,"Radisson Blu City Centre,Egmore, North Chennai", North Chennai,Chennai,"North Indian,  Chinese,  Continental",4.3,16,1800
Copper Kitchen,"Velachery, South West Chennai", South West Chennai,Chennai,"North Indian,  Chinese,  Seafood,  Andhra,  Chettinad",3.7,16,1100
